Comment,Designator,Footprint,LCSC
L7812,U1,TO-220-3,C105651
10pF,"C1,C2",C_1206_3216Metric,C107172
Conn_01x03,"AUX1,AUX2,AUX3",JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,C144394
10K,"R1,R15,R16,R17,R2,R3,R4,R5,R6,R7,R8",R_1206_3216Metric,C144471
wsf3085,"Q10,Q8,Q9",TO-252-2,C148428
Conn_01x06_Male,J4,PinHeader_1x06_P2.54mm_Vertical,C2935946
Conn_01x03,"FAN1PWR1,FAN2PWR1,FAN3PWR1,FAN4PWR1",PinHeader_1x03_P2.54mm_Vertical,C2937625
Conn_01x04,"FAN1,FAN2,FAN3,FAN4",FanPinHeader_1x04_P2.54mm_Vertical,C402778
Conn_01x02,"24VIN1,5VIN1","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C475092
Conn_02x03_Odd_Even,"AUX1PWR1,AUX2PWR1,AUX3PWR1",PinHeader_2x03_P2.54mm_Vertical,C492420
BSS138,"Q1,Q2,Q3,Q4",SOT-23,C52895
Conn_02x02_Odd_Even,"J1,J2,J3",PinHeader_2x02_P2.54mm_Vertical,C706892
tiny2040,U2,rp2040_zero,
Conn_01x06_Male,J5,PinHeader_1x06_P2.54mm_Vertical,
